month,Pos_mig,Pos_juv,Pos_ad,Pos_u,N_mig,N_juv,N_ad,N_u
1,NA,0,4,8,NA,3,32,71
2,NA,0,0,3,NA,3,59,55
3,NA,0,0,0,NA,3,35,25
4,NA,0,0,NA,NA,2,81,NA
5,NA,0,0,NA,NA,2,66,NA
6,NA,1,2,NA,NA,3,91,NA
7,NA,2,3,3,NA,8,56,25
8,1,0,0,1,16,7,37,21
9,20,0,9,3,40,7,43,11
10,37,4,13,11,55,8,44,18
11,21,0,5,9,47,5,46,22
12,10,0,2,2,51,1,16,12
